request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_38,232.94,affordable_later,wait,2025-10-13:971.3,2025-10-13,none,"Wait until 13 October 2025, then pay EUR 971.3 in full; paying sooner would put the EUR 400 minimum at risk."
request_39,56896.4,affordable_later,wait,2026-05-14:208600,2026-05-14,none,"Wait until 14 May 2026, then pay INR 208600 in full; paying sooner would put the INR 213400 minimum at risk."
request_40,359.41,not_affordable,not_recommended,none,,none,Do not proceed with this payment by 15 August 2024. No eligible option keeps the EUR 1500 minimum protected.
request_41,9142170.67,affordable_later,wait,2025-12-14:38760000,2025-12-14,none,"Wait until 14 December 2025, then pay IDR 38760000 in full; paying sooner would put the IDR 25366600 minimum at risk."
request_42,52100,affordable_now,full_payment,2026-01-05:52100,2026-01-05,none,Pay INR 52100 today. This keeps at least INR 113100 available over the next 90 days.
request_43,9835603.73,affordable_later,wait,2024-11-13:43339000,2024-11-13,none,"Wait until 13 November 2024, then pay IDR 43339000 in full; paying sooner would put the IDR 21398000 minimum at risk."
request_44,30648.03,affordable_later,wait,2025-04-18:95800,2025-04-18,none,"Wait until 18 April 2025, then pay INR 95800 in full; paying sooner would put the INR 82900 minimum at risk."
request_45,3339179.76,not_affordable,not_recommended,none,,none,Do not proceed with this payment by 15 September 2026. No eligible option keeps the IDR 11149800 minimum protected.
request_46,34573.2,affordable_with_plan,partial_payment,2024-12-03:34573.2|2024-12-15:14876.8,2024-12-15,none,Pay INR 34573.2 today and the remaining INR 14876.8 on 15 December 2024; the minimum balance remains protected.
request_47,38114000,affordable_now,full_payment,2025-05-05:38114000,2025-05-05,none,Pay IDR 38114000 today. This keeps at least IDR 30049000 available over the next 90 days.
request_48,45700,affordable_now,full_payment,2026-07-25:45700,2026-07-25,none,Pay INR 45700 today. This keeps at least INR 71300 available over the next 90 days.
request_49,11405403.86,affordable_with_plan,installments,2024-03-18:11902106.67|2024-04-18:11902106.67|2024-05-19:11902106.67,2024-04-17,none,"Use 3 installments of IDR 11902106.67, starting 18 March 2024. This keeps at least IDR 20275700 available."
request_50,43900,affordable_now,full_payment,2025-08-06:43900,2025-08-06,none,Pay INR 43900 today. This keeps at least INR 99700 available over the next 90 days.
request_51,2191000,affordable_now,full_payment,2026-01-03:2191000,2026-01-03,none,Pay IDR 2191000 today. This keeps at least IDR 7811000 available over the next 90 days.
request_52,23820.74,affordable_later,wait,2024-06-14:28870,2024-06-14,none,"Wait until 14 June 2024, then pay INR 28870 in full; paying sooner would put the INR 41500 minimum at risk."
request_53,552.92,affordable_with_plan,installments,2025-11-21:589.06|2025-12-19:589.06|2026-01-16:589.06,2026-01-13,none,"Use 3 installments of USD 589.06, starting 21 November 2025. This keeps at least USD 2100 available."
request_54,1826.85,not_affordable,not_recommended,none,,none,Do not proceed with this payment by 21 August 2026. No eligible option keeps the ZAR 37000 minimum protected.
request_55,130095.31,affordable_with_plan,installments,2026-06-11:75781.33|2026-07-12:75781.33|2026-08-12:75781.33,2026-07-14,none,"Use 3 installments of INR 75781.33, starting 11 June 2026. This keeps at least INR 124300 available."
request_56,633.23,affordable_with_plan,partial_payment,2025-02-03:633.23|2025-02-15:248.33,2025-02-15,none,Pay USD 633.23 today and the remaining USD 248.33 on 15 February 2025; the minimum balance remains protected.
request_57,13066.79,affordable_later,wait,2026-06-13:61446,2026-06-13,none,"Wait until 13 June 2026, then pay ZAR 61446 in full; paying sooner would put the ZAR 42700 minimum at risk."
request_58,16226000,affordable_now,full_payment,2024-12-07:16226000,2024-12-07,none,Pay IDR 16226000 today. This keeps at least IDR 14433900 available over the next 90 days.
request_59,140600,affordable_with_plan,installments,2025-05-07:48741.33|2025-06-04:48741.33|2025-07-02:48741.33,2025-05-04,none,"Use 3 installments of INR 48741.33, starting 07 May 2025. This keeps at least INR 132600 available."
request_60,144.43,affordable_later,wait,2026-01-14:199.89,2026-01-14,none,"Wait until 14 January 2026, then pay USD 199.89 in full; paying sooner would put the USD 400 minimum at risk."
request_61,29062,affordable_with_plan,installments,2024-03-17:10074.83|2024-04-17:10074.83|2024-05-18:10074.83,2024-03-03,none,"Use 3 installments of ZAR 10074.83, starting 17 March 2024. This keeps at least ZAR 36700 available."
request_62,404.23,affordable_now,full_payment,2025-08-05:404.23,2025-08-05,none,Pay USD 404.23 today. This keeps at least USD 1300 available over the next 90 days.
request_63,39151.63,affordable_with_plan,partial_payment,2026-07-07:39151.63|2026-09-13:304748.37,2026-09-13,none,Pay INR 39151.63 today and the remaining INR 304748.37 on 13 September 2026; the minimum balance remains protected.
request_64,42679.79,affordable_with_plan,installments,2024-06-11:22082.67|2024-07-12:22082.67|2024-08-12:22082.67,2024-07-14,reduce_to:event_5951:950,"Adjust flexible spending, then use 3 installments of INR 22082.67, starting 11 June 2024. This keeps at least INR 36100 available."
request_65,5823.78,not_affordable,not_recommended,none,,none,Do not proceed with this payment by 25 November 2025. No eligible option keeps the ZAR 15500 minimum protected.
request_66,22200,affordable_now,full_payment,2026-04-03:22200,2026-04-03,none,Pay INR 22200 today. This keeps at least INR 80700 available over the next 90 days.
request_67,294.7,affordable_later,wait,2024-10-14:2094,2024-10-14,none,"Wait until 14 October 2024, then pay USD 2094 in full; paying sooner would put the USD 1200 minimum at risk."
request_68,1328.22,affordable_with_plan,installments,2025-02-14:725.09|2025-03-14:725.09|2025-04-11:725.09,2025-03-24,reduce_to:event_6331:24.8,"Adjust flexible spending, then use 3 installments of USD 725.09, starting 14 February 2025. This keeps at least USD 1500 available."
request_69,529.1,affordable_now,full_payment,2026-01-04:529.1,2026-01-04,none,Pay EUR 529.1 today. This keeps at least EUR 700 available over the next 90 days.
request_70,49659.08,affordable_later,wait,2025-02-16:243900,2025-02-16,none,"Wait until 16 February 2025, then pay INR 243900 in full; paying sooner would put the INR 115000 minimum at risk."
request_71,168308.31,not_affordable,not_recommended,none,,none,Do not proceed with this payment by 28 May 2025. No eligible option keeps the IDR 8884800 minimum protected.
request_72,11330,affordable_now,full_payment,2026-07-05:11330,2026-07-05,none,Pay ZAR 11330 today. This keeps at least ZAR 12200 available over the next 90 days.
request_73,71400,affordable_now,full_payment,2023-01-20:71400,2023-01-20,none,Pay INR 71400 today. This keeps at least INR 103200 available over the next 90 days.
request_74,5010,affordable_now,full_payment,2025-08-04:5010,2025-08-04,none,Pay ZAR 5010 today. This keeps at least ZAR 21900 available over the next 90 days.
request_75,28270,affordable_with_plan,installments,2026-04-09:9800.27|2026-05-09:9800.27|2026-06-08:9800.27,2026-04-06,none,"Use 3 installments of ZAR 9800.27, starting 09 April 2026. This keeps at least ZAR 39000 available."
request_76,986.6,not_affordable,not_recommended,none,,none,Do not proceed with this payment by 30 July 2024. No eligible option keeps the USD 1800 minimum protected.
request_77,59698.16,affordable_later,wait,2025-11-14:60700,2025-11-14,none,"Wait until 14 November 2025, then pay INR 60700 in full; paying sooner would put the INR 82200 minimum at risk."
request_78,43760.15,affordable_later,wait,2025-11-16:50200,2025-11-16,none,"Wait until 16 November 2025, then pay INR 50200 in full; paying sooner would put the INR 55200 minimum at risk."
request_79,312.67,not_affordable,not_recommended,none,,none,Do not proceed with this payment by 01 November 2024. No eligible option keeps the EUR 1000 minimum protected.
request_80,120906.07,not_affordable,not_recommended,none,,none,Do not proceed with this payment by 21 February 2025. No eligible option keeps the INR 121300 minimum protected.
request_81,2076,affordable_now,full_payment,2026-07-03:2076,2026-07-03,none,Pay USD 2076 today. This keeps at least USD 1600 available over the next 90 days.
request_82,200.82,affordable_later,wait,2025-02-21:1405.2,2025-02-21,none,"Wait until 21 February 2025, then pay USD 1405.2 in full; paying sooner would put the USD 1100 minimum at risk."
request_83,10050.28,not_affordable,not_recommended,none,,none,Do not proceed with this payment by 17 June 2025. No eligible option keeps the INR 37800 minimum protected.
request_84,21807.04,affordable_later,wait,2026-06-13:95400,2026-06-13,none,"Wait until 13 June 2026, then pay INR 95400 in full; paying sooner would put the INR 91300 minimum at risk."
request_85,376123.38,not_affordable,not_recommended,none,,none,Do not proceed with this payment by 26 April 2024. No eligible option keeps the IDR 6396300 minimum protected.
request_86,46300,affordable_now,full_payment,2025-08-03:46300,2025-08-03,none,Pay INR 46300 today. This keeps at least INR 84900 available over the next 90 days.
request_87,18266.04,not_affordable,not_recommended,none,,none,Do not proceed with this payment by 15 March 2026. No eligible option keeps the INR 185900 minimum protected.
request_88,10715.66,affordable_with_plan,installments,2024-06-14:9045.23|2024-07-15:9045.23|2024-08-15:9045.23,2024-07-14,none,"Use 3 installments of ZAR 9045.23, starting 14 June 2024. This keeps at least ZAR 25800 available."
request_89,9256389.88,affordable_with_plan,installments,2025-11-18:4768746.67|2025-12-16:4768746.67|2026-01-13:4768746.67,2025-12-14,none,"Use 3 installments of IDR 4768746.67, starting 18 November 2025. This keeps at least IDR 12534700 available."
request_90,2560,affordable_now,full_payment,2026-07-06:2560,2026-07-06,none,Pay ZAR 2560 today. This keeps at least ZAR 7600 available over the next 90 days.
request_91,478.03,affordable_later,wait,2024-11-13:1927.2,2024-11-13,none,"Wait until 13 November 2024, then pay EUR 1927.2 in full; paying sooner would put the EUR 2100 minimum at risk."
request_92,34034,affordable_now,full_payment,2025-02-05:34034,2025-02-05,none,Pay ZAR 34034 today. This keeps at least ZAR 28100 available over the next 90 days.
request_93,1729.2,affordable_now,full_payment,2026-04-07:1729.2,2026-04-07,none,Pay USD 1729.2 today. This keeps at least USD 1900 available over the next 90 days.
request_94,572,affordable_now,full_payment,2024-12-04:572,2024-12-04,none,Pay EUR 572 today. This keeps at least EUR 600 available over the next 90 days.
request_95,7146.42,not_affordable,not_recommended,none,,none,Do not proceed with this payment by 14 July 2025. No eligible option keeps the INR 145500 minimum protected.
request_96,73391.97,affordable_with_plan,installments,2026-01-10:31269.33|2026-02-09:31269.33|2026-03-11:31269.33,2026-02-13,none,"Use 3 installments of INR 31269.33, starting 10 January 2026. This keeps at least INR 56500 available."
request_97,1549.41,affordable_with_plan,installments,2024-03-19:8145.28|2024-04-19:8145.28|2024-05-20:8145.28,2024-04-14,none,"Use 3 installments of ZAR 8145.28, starting 19 March 2024. This keeps at least ZAR 29700 available."
request_98,8416.47,affordable_later,wait,2025-10-13:27148,2025-10-13,none,"Wait until 13 October 2025, then pay ZAR 27148 in full; paying sooner would put the ZAR 30000 minimum at risk."
request_99,17483.56,affordable_now,full_payment,2026-07-04:18062,2026-07-04,reduce_to:event_9232:1065.9,"Adjust flexible spending, then pay ZAR 18062 today. This keeps at least ZAR 49100 available over the next 90 days."
request_100,25179.72,affordable_with_plan,installments,2024-06-13:12866.19|2024-07-14:12866.19|2024-08-14:12866.19,2024-06-15,none,"Use 3 installments of ZAR 12866.19, starting 13 June 2024. This keeps at least ZAR 32500 available."
request_101,143500,affordable_now,full_payment,2025-11-03:143500,2025-11-03,none,Pay INR 143500 today. This keeps at least INR 187400 available over the next 90 days.
request_102,1716,affordable_with_plan,installments,2026-04-05:594.88|2026-05-05:594.88|2026-06-04:594.88,2026-04-05,none,"Use 3 installments of EUR 594.88, starting 05 April 2026. This keeps at least EUR 900 available."
request_103,9477.23,not_affordable,not_recommended,none,,none,Do not proceed with this payment by 07 October 2024. No eligible option keeps the INR 125500 minimum protected.
request_104,17204,affordable_now,full_payment,2025-02-04:17204,2025-02-04,none,Pay ZAR 17204 today. This keeps at least ZAR 24700 available over the next 90 days.
request_105,51002.63,affordable_now,full_payment,2026-06-08:53500,2026-06-08,reduce_to:event_9720:1632|reduce_to:event_9721:1720,"Adjust flexible spending, then pay INR 53500 today. This keeps at least INR 73900 available over the next 90 days."
request_106,459.01,affordable_later,wait,2025-02-16:2207.7,2025-02-16,none,"Wait until 16 February 2025, then pay EUR 2207.7 in full; paying sooner would put the EUR 1200 minimum at risk."
request_107,0,not_affordable,not_recommended,none,,none,Do not proceed with this payment by 04 July 2025. No eligible option keeps the EUR 1600 minimum protected.
request_108,3386.06,affordable_later,wait,2026-08-08:55308,2026-08-08,none,"Wait until 08 August 2026, then pay ZAR 55308 in full; paying sooner would put the ZAR 24100 minimum at risk."
request_109,586.69,affordable_with_plan,installments,2024-03-18:645.98|2024-04-18:645.98|2024-05-19:645.98,2024-04-14,none,"Use 3 installments of EUR 645.98, starting 18 March 2024. This keeps at least EUR 1700 available."
request_110,22352,affordable_with_plan,installments,2025-08-06:7748.69|2025-09-03:7748.69|2025-10-01:7748.69,2025-08-06,none,"Use 3 installments of ZAR 7748.69, starting 06 August 2025. This keeps at least ZAR 11200 available."
request_111,16625000,affordable_now,full_payment,2026-04-03:16625000,2026-04-03,none,Pay IDR 16625000 today. This keeps at least IDR 23022800 available over the next 90 days.
request_112,271.7,affordable_now,full_payment,2024-06-05:271.7,2024-06-05,none,Pay EUR 271.7 today. This keeps at least EUR 500 available over the next 90 days.
request_113,19890.83,affordable_later,wait,2026-10-14:36500,2026-10-14,none,"Wait until 14 October 2026, then pay INR 36500 in full; paying sooner would put the INR 82300 minimum at risk."
request_114,59150.41,affordable_later,wait,2026-01-14:65300,2026-01-14,none,"Wait until 14 January 2026, then pay INR 65300 in full; paying sooner would put the INR 113400 minimum at risk."
request_115,14827.26,affordable_later,wait,2024-11-13:80500,2024-11-13,none,"Wait until 13 November 2024, then pay INR 80500 in full; paying sooner would put the INR 38800 minimum at risk."
request_116,7807.25,not_affordable,not_recommended,none,,none,Do not proceed with this payment by 16 April 2025. No eligible option keeps the INR 80300 minimum protected.
request_117,856.35,affordable_now,full_payment,2026-07-05:880,2026-07-05,reduce_to:event_10878:20.5,"Adjust flexible spending, then pay EUR 880 today. This keeps at least EUR 1000 available over the next 90 days."
request_118,595.99,affordable_with_plan,installments,2024-12-07:255.87|2025-01-07:255.87|2025-02-07:255.87,2025-02-21,reduce_to:event_10914:14|stop:event_10912,"Adjust flexible spending, then use 3 installments of EUR 255.87, starting 07 December 2024. This keeps at least EUR 600 available."
request_119,55058.88,not_affordable,not_recommended,none,,none,Do not proceed with this payment by 17 July 2025. No eligible option keeps the INR 151200 minimum protected.
request_120,7714000,affordable_now,full_payment,2026-04-06:7714000,2026-04-06,none,Pay IDR 7714000 today. This keeps at least IDR 20050300 available over the next 90 days.
request_121,633.6,affordable_now,full_payment,2024-03-03:633.6,2024-03-03,none,Pay USD 633.6 today. This keeps at least USD 800 available over the next 90 days.
request_122,20558000,affordable_with_plan,installments,2025-08-05:7126773.33|2025-09-02:7126773.33|2025-09-30:7126773.33,2025-08-05,none,"Use 3 installments of IDR 7126773.33, starting 05 August 2025. This keeps at least IDR 12588500 available."
request_123,4076000,affordable_now,full_payment,2026-01-07:4076000,2026-01-07,none,Pay IDR 4076000 today. This keeps at least IDR 18091200 available over the next 90 days.
request_124,1393.99,affordable_with_plan,installments,2024-06-11:1076.12|2024-07-12:1076.12|2024-08-12:1076.12,2024-07-14,none,"Use 3 installments of EUR 1076.12, starting 11 June 2024. This keeps at least EUR 1600 available."
request_125,5742.55,affordable_now,full_payment,2025-11-06:6468,2025-11-06,reduce_to:event_11602:223.3|stop:event_11519,"Adjust flexible spending, then pay ZAR 6468 today. This keeps at least ZAR 11300 available over the next 90 days."
request_126,159600,affordable_now,full_payment,2026-07-03:159600,2026-07-03,none,Pay INR 159600 today. This keeps at least INR 129700 available over the next 90 days.
request_127,6879.58,affordable_later,wait,2024-10-14:23980,2024-10-14,none,"Wait until 14 October 2024, then pay ZAR 23980 in full; paying sooner would put the ZAR 41000 minimum at risk."
request_128,25168,affordable_now,full_payment,2025-02-07:25168,2025-02-07,none,Pay ZAR 25168 today. This keeps at least ZAR 42600 available over the next 90 days.
request_129,118.07,not_affordable,not_recommended,none,,none,Do not proceed with this payment by 18 June 2026. No eligible option keeps the USD 800 minimum protected.
request_130,360.36,affordable_later,wait,2025-01-16:1978.8,2025-01-16,none,"Wait until 16 January 2025, then pay USD 1978.8 in full; paying sooner would put the USD 1400 minimum at risk."
request_131,1119.32,not_affordable,not_recommended,none,,none,Do not proceed with this payment by 08 July 2025. No eligible option keeps the USD 1100 minimum protected.
request_132,314.01,affordable_later,wait,2026-01-14:379.86,2026-01-14,none,"Wait until 14 January 2026, then pay USD 379.86 in full; paying sooner would put the USD 1100 minimum at risk."
request_133,15770000,not_affordable,not_recommended,none,,none,Do not proceed with this payment by 29 March 2024. No eligible option keeps the IDR 9986200 minimum protected.
request_134,4407043.89,affordable_later,wait,2025-09-13:21831000,2025-09-13,none,"Wait until 13 September 2025, then pay IDR 21831000 in full; paying sooner would put the IDR 15902500 minimum at risk."
request_135,285.06,affordable_now,full_payment,2026-07-06:304.8,2026-07-06,reduce_to:event_12458:17.5,"Adjust flexible spending, then pay USD 304.8 today. This keeps at least USD 500 available over the next 90 days."
request_136,532.47,affordable_now,full_payment,2024-06-03:560.4,2024-06-03,reduce_to:event_12498:27.2,"Adjust flexible spending, then pay USD 560.4 today. This keeps at least USD 1100 available over the next 90 days."
request_137,25511.32,affordable_later,wait,2026-01-13:80100,2026-01-13,none,"Wait until 13 January 2026, then pay INR 80100 in full; paying sooner would put the INR 71800 minimum at risk."
request_138,862.08,affordable_with_plan,partial_payment,2026-04-07:862.08|2026-04-14:394.86,2026-04-14,none,Pay EUR 862.08 today and the remaining EUR 394.86 on 14 April 2026; the minimum balance remains protected.
request_139,1314.52,affordable_with_plan,installments,2024-09-07:802.88|2024-10-08:802.88|2024-11-08:802.88,2024-10-14,none,"Use 3 installments of USD 802.88, starting 07 September 2024. This keeps at least USD 1500 available."
request_140,1325.05,not_affordable,not_recommended,none,,none,Do not proceed with this payment by 04 March 2025. No eligible option keeps the ZAR 21600 minimum protected.
request_141,20594.95,not_affordable,not_recommended,none,,none,Do not proceed with this payment by 12 February 2026. No eligible option keeps the INR 67300 minimum protected.
request_142,1263.6,affordable_now,full_payment,2024-12-05:1263.6,2024-12-05,none,Pay USD 1263.6 today. This keeps at least USD 1700 available over the next 90 days.
request_143,2249.05,affordable_later,wait,2025-07-17:12584,2025-07-17,none,"Wait until 17 July 2025, then pay ZAR 12584 in full; paying sooner would put the ZAR 11300 minimum at risk."
request_144,205,affordable_later,wait,2026-07-16:233.34,2026-07-16,none,"Wait until 16 July 2026, then pay USD 233.34 in full; paying sooner would put the USD 600 minimum at risk."
request_145,14574.1,not_affordable,not_recommended,none,,none,Do not proceed with this payment by 26 May 2024. No eligible option keeps the INR 155400 minimum protected.
request_146,12963.03,affordable_later,wait,2025-10-13:449400,2025-10-13,none,"Wait until 13 October 2025, then pay INR 449400 in full; paying sooner would put the INR 108600 minimum at risk."
request_147,467.31,affordable_with_plan,installments,2026-04-08:391.63|2026-05-08:391.63|2026-06-07:391.63,2026-05-14,none,"Use 3 installments of EUR 391.63, starting 08 April 2026. This keeps at least EUR 900 available."
request_148,7243.46,affordable_with_plan,installments,2024-06-14:7710.56|2024-07-15:7710.56|2024-08-15:7710.56,2024-07-14,none,"Use 3 installments of ZAR 7710.56, starting 14 June 2024. This keeps at least ZAR 20000 available."
request_149,24906.18,affordable_with_plan,installments,2025-11-18:12706.03|2025-12-16:12706.03|2026-01-13:12706.03,2025-12-14,none,"Use 3 installments of ZAR 12706.03, starting 18 November 2025. This keeps at least ZAR 42100 available."
request_150,293.68,affordable_with_plan,installments,2026-01-06:171.98|2026-02-05:171.98|2026-03-07:171.98,2026-03-15,reduce_to:event_13787:16|stop:event_13786,"Adjust flexible spending, then use 3 installments of EUR 171.98, starting 06 January 2026. This keeps at least EUR 700 available."
request_151,26999000,affordable_now,full_payment,2024-09-03:26999000,2024-09-03,none,Pay IDR 26999000 today. This keeps at least IDR 31633600 available over the next 90 days.
request_152,11016.51,not_affordable,not_recommended,none,,none,Do not proceed with this payment by 13 April 2025. No eligible option keeps the ZAR 11900 minimum protected.
request_153,2.96,not_affordable,not_recommended,none,,none,Do not proceed with this payment by 24 September 2026. No eligible option keeps the USD 1400 minimum protected.
request_154,1625.8,affordable_with_plan,installments,2024-12-04:563.61|2025-01-04:563.61|2025-02-04:563.61,2024-12-04,none,"Use 3 installments of EUR 563.61, starting 04 December 2024. This keeps at least EUR 1300 available."
request_155,112500,affordable_now,full_payment,2025-05-06:112500,2025-05-06,none,Pay INR 112500 today. This keeps at least INR 56300 available over the next 90 days.
request_156,9555.58,affordable_later,wait,2026-06-13:43076,2026-06-13,none,"Wait until 13 June 2026, then pay ZAR 43076 in full; paying sooner would put the ZAR 26900 minimum at risk."
request_157,4773723.48,affordable_later,wait,2024-04-17:23503000,2024-04-17,none,"Wait until 17 April 2024, then pay IDR 23503000 in full; paying sooner would put the IDR 15714100 minimum at risk."
request_158,242600,affordable_with_plan,installments,2025-08-07:84101.33|2025-09-04:84101.33|2025-10-02:84101.33,2025-08-07,none,"Use 3 installments of INR 84101.33, starting 07 August 2025. This keeps at least INR 131400 available."
request_159,13398,affordable_now,full_payment,2026-01-04:13398,2026-01-04,none,Pay ZAR 13398 today. This keeps at least ZAR 8700 available over the next 90 days.
request_160,577.17,affordable_with_plan,installments,2024-06-13:432.05|2024-07-14:432.05|2024-08-14:432.05,2024-07-14,none,"Use 3 installments of EUR 432.05, starting 13 June 2024. This keeps at least EUR 1200 available."
request_161,0,not_affordable,not_recommended,none,,none,Do not proceed with this payment by 15 January 2026. No eligible option keeps the IDR 23010400 minimum protected.
request_162,1233219.8,not_affordable,not_recommended,none,,none,Do not proceed with this payment by 26 August 2026. No eligible option keeps the IDR 24161100 minimum protected.
request_163,7865390.03,not_affordable,not_recommended,none,,none,Do not proceed with this payment by 15 November 2024. No eligible option keeps the IDR 26728700 minimum protected.
request_164,27018000,affordable_with_plan,installments,2025-02-11:9366240|2025-03-11:9366240|2025-04-08:9366240,2025-02-04,none,"Use 3 installments of IDR 9366240, starting 11 February 2025. This keeps at least IDR 29550500 available."
request_165,80600,affordable_now,full_payment,2026-04-06:80600,2026-04-06,none,Pay INR 80600 today. This keeps at least INR 95000 available over the next 90 days.
request_166,2907.6,affordable_with_plan,installments,2024-12-03:1007.97|2025-01-03:1007.97|2025-02-03:1007.97,2024-12-03,none,"Use 3 installments of USD 1007.97, starting 03 December 2024. This keeps at least USD 1700 available."
request_167,43802,affordable_now,full_payment,2025-05-05:43802,2025-05-05,none,Pay ZAR 43802 today. This keeps at least ZAR 31200 available over the next 90 days.
request_168,30828.55,affordable_with_plan,partial_payment,2026-01-07:30828.55|2026-01-14:18551.45,2026-01-14,none,Pay INR 30828.55 today and the remaining INR 18551.45 on 14 January 2026; the minimum balance remains protected.
request_169,41976,affordable_now,full_payment,2024-03-04:41976,2024-03-04,none,Pay ZAR 41976 today. This keeps at least ZAR 18700 available over the next 90 days.
request_170,31411500.79,affordable_with_plan,installments,2025-08-06:12804480|2025-09-03:12804480|2025-10-01:12804480,2025-09-13,none,"Use 3 installments of IDR 12804480, starting 06 August 2025. This keeps at least IDR 24715800 available."
request_171,32.91,not_affordable,not_recommended,none,,none,Do not proceed with this payment by 10 September 2026. No eligible option keeps the EUR 500 minimum protected.
request_172,10200,affordable_with_plan,installments,2024-06-05:5304|2024-07-03:5304,2024-06-05,none,"Use 2 installments of ZAR 5304, starting 05 June 2024. This keeps at least ZAR 27200 available."
request_173,59132.48,affordable_with_plan,installments,2025-11-21:39173.33|2025-12-19:39173.33|2026-01-16:39173.33,2026-01-13,reduce_to:event_15946:2105,"Adjust flexible spending, then use 3 installments of INR 39173.33, starting 21 November 2025. This keeps at least INR 79100 available."
request_174,1146.2,affordable_with_plan,installments,2026-04-04:397.35|2026-05-04:397.35|2026-06-03:397.35,2026-04-04,none,"Use 3 installments of EUR 397.35, starting 04 April 2026. This keeps at least EUR 700 available."
request_175,2346.3,affordable_now,full_payment,2024-09-06:2346.3,2024-09-06,none,Pay EUR 2346.3 today. This keeps at least EUR 1700 available over the next 90 days.
request_176,463.32,affordable_later,wait,2025-03-10:1239.7,2025-03-10,none,"Wait until 10 March 2025, then pay EUR 1239.7 in full; paying sooner would put the EUR 600 minimum at risk."
request_177,1017.6,affordable_now,full_payment,2026-01-05:1017.6,2026-01-05,none,Pay USD 1017.6 today. This keeps at least USD 1300 available over the next 90 days.
request_178,2938.1,affordable_with_plan,installments,2024-12-07:1018.54|2025-01-07:1018.54|2025-02-07:1018.54,2024-12-07,none,"Use 3 installments of EUR 1018.54, starting 07 December 2024. This keeps at least EUR 1400 available."
request_179,6680351.79,affordable_later,wait,2025-07-17:41648000,2025-07-17,none,"Wait until 17 July 2025, then pay IDR 41648000 in full; paying sooner would put the IDR 41430800 minimum at risk."
request_180,66500,affordable_now,full_payment,2026-07-06:66500,2026-07-06,none,Pay INR 66500 today. This keeps at least INR 37300 available over the next 90 days.
request_181,417.03,affordable_later,wait,2024-05-14:5059.2,2024-05-14,none,"Wait until 14 May 2024, then pay USD 5059.2 in full; paying sooner would put the USD 2000 minimum at risk."
request_182,65714,affordable_now,full_payment,2025-08-05:65714,2025-08-05,none,Pay ZAR 65714 today. This keeps at least ZAR 31100 available over the next 90 days.
request_183,23090201.43,affordable_with_plan,installments,2026-04-10:9313546.67|2026-05-10:9313546.67|2026-06-09:9313546.67,2026-05-14,none,"Use 3 installments of IDR 9313546.67, starting 10 April 2026. This keeps at least IDR 11878300 available."
request_184,7025.81,not_affordable,not_recommended,none,,none,Do not proceed with this payment by 30 July 2024. No eligible option keeps the INR 110800 minimum protected.
request_185,320.75,affordable_later,wait,2026-01-13:1257.3,2026-01-13,none,"Wait until 13 January 2026, then pay EUR 1257.3 in full; paying sooner would put the EUR 1300 minimum at risk."
request_186,11063.92,affordable_later,wait,2026-03-15:26554,2026-03-15,none,"Wait until 15 March 2026, then pay ZAR 26554 in full; paying sooner would put the ZAR 22000 minimum at risk."
